date,time,trader_genuine_customer_orders,trader_good_product_set,AMR_gibberish_em_a1add_velocity,TRADER_5600_BINS_370021_373778,TRADER_AMR_Common_EM_DOM,TRADER_AMR_UNIQUE_EM_DOM,total,runtime,gct,th
2026-01-05,9:37 AM,402,146,3989,0,417,1,4470,702.3,481,3989
2026-01-05,10:04 AM,88,17,158,46,19,5,301,513.6,94,207
2026-01-05,5:25 PM,3,1,1366,0,164,4,1370,619.9,4,1366
2026-01-05,11:25 PM,29,3,2298,34,298,2,2363,614.0,30,2333
2026-01-06,8:23 AM,2,0,4572,0,501,7,4575,478.3,2,4573
2026-01-06,10:50 AM,68,8,34,3,1,15,107,502.0,70,37
2026-01-06,5:26 PM,11,2,924,0,131,1,938,659.1,13,925
2026-01-06,11:26 PM,16,4,11,48,1,0,79,685.8,20,59
2026-01-07,8:23 AM,58,5,1930,19,176,8,2009,475.3,60,1949
2026-01-07,5:25 PM,9,0,996,2,113,2,1007,633.4,9,998
2026-01-07,11:24 PM,29,3,311,79,52,0,420,546.2,30,390
2026-01-08,8:23 AM,56,9,3025,82,430,11,3167,511.9,60,3107
2026-01-08,5:25 PM,7,0,1571,60,258,1,1638,606.3,7,1631
2026-01-08,11:24 PM,17,3,1340,65,224,0,1424,549.0,19,1405
2026-01-09,8:22 AM,63,9,4845,109,795,13,5023,449.0,69,4954
2026-01-09,5:25 PM,10,1,1480,0,337,0,1491,621.6,11,1480
2026-01-09,11:24 PM,12,1,1405,24,221,0,1442,581.5,13,1429
2026-01-10,8:22 AM,112,17,2616,5,398,2,2740,461.9,119,2621
2026-01-10,5:24 PM,4,0,1246,0,174,2,1250,534.4,4,1246
2026-01-10,11:25 PM,25,6,1116,1,134,1,1146,622.7,29,1117
2026-01-11,8:22 AM,66,12,4451,68,606,5,4594,456.4,74,4520
2026-01-11,5:26 PM,5,1,1269,0,168,0,1274,683.4,5,1269
2026-01-11,11:26 PM,18,4,2041,82,298,3,2144,684.6,20,2124
2026-01-12,8:22 AM,69,11,4433,72,614,13,4577,465.7,72,4505
2026-01-12,5:39 PM,21,1,1177,15,140,3,1213,1479.1,21,1192
2026-01-12,11:24 PM,19,7,9,42,0,0,75,585.1,24,51
2026-01-13,8:25 AM,76,13,2966,113,250,10,3161,599.8,83,3078
2026-01-13,5:23 PM,20,2,1243,1,206,2,1265,484.6,21,1244
2026-01-13,11:23 PM,19,5,10,94,0,1,127,495.8,22,105
2026-01-14,8:24 AM,43,12,2128,149,265,12,2330,547.7,53,2277
2026-01-14,5:25 PM,5,0,1354,1,160,6,1361,614.1,5,1356
2026-01-14,11:26 PM,11,5,240,66,35,0,322,682.6,16,306
2026-01-15,8:24 AM,38,7,3396,113,409,29,3555,546.1,41,3514
2026-01-15,11:35 AM,38,4,279,0,2,2,318,520.8,40,278
2026-01-15,5:27 PM,7,1,849,2,145,8,862,730.8,8,854
2026-01-15,11:24 PM,21,8,502,7,58,3,536,586.5,27,509
2026-01-16,8:22 AM,62,16,3079,185,382,93,3388,451.8,69,3319
2026-01-16,5:28 PM,4,0,326,4,49,0,334,790.1,4,330
2026-01-16,11:24 PM,16,1,1536,12,239,9,1565,574.8,17,1548
2026-01-17,8:23 AM,97,17,4165,23,600,13,4293,494.0,105,4188
2026-01-17,5:26 PM,4,0,912,0,133,63,916,658.1,4,912
2026-01-17,11:24 PM,25,1,2251,24,306,53,2301,528.9,25,2276
2026-01-18,8:24 AM,46,7,4481,10,758,10,4541,531.7,50,4491
2026-01-18,5:24 PM,9,0,1465,138,257,1,1612,550.0,9,1603
2026-01-18,11:26 PM,11,4,1546,332,240,2,1892,653.3,14,1878
2026-01-19,8:23 AM,40,14,4581,82,828,5,4710,486.9,47,4663
2026-01-19,5:25 PM,7,1,1292,12,216,1,1310,647.8,7,1303
2026-01-19,11:25 PM,18,5,649,53,67,2,721,602.8,19,702
2026-01-20,8:23 AM,51,5,3319,33,533,11,3406,489.2,54,3352
2026-01-20,5:25 PM,10,1,895,25,110,1,931,594.2,11,920
2026-01-20,11:23 PM,15,4,43,87,1,1,148,520.1,18,130
2026-01-21,8:22 AM,51,11,2326,125,357,4,2511,470.1,59,2452
2026-01-21,5:22 PM,5,1,1256,3,95,2,1265,429.3,6,1259
2026-01-21,11:24 PM,24,3,144,24,3,0,193,565.0,25,168
2026-01-22,8:23 AM,68,5,2527,4,426,8,2602,525.9,71,2531
2026-01-22,5:26 PM,75,3,789,0,122,7,867,654.6,78,789
2026-01-22,11:23 PM,19,3,733,10,107,1,765,478.4,21,744
2026-01-23,8:22 AM,46,6,2315,72,383,15,2437,429.4,48,2389
2026-01-23,5:25 PM,2,1,1163,3,143,17,1169,627.0,2,1167
2026-01-23,11:24 PM,21,1,457,22,57,3,501,538.1,22,479
2026-01-24,8:21 AM,75,23,1815,2,276,2,1906,373.4,89,1817
2026-01-24,5:24 PM,13,3,1023,0,198,2,1038,547.4,15,1023
2026-01-24,11:22 PM,27,4,1696,50,312,5,1775,435.9,29,1746
2026-01-25,8:22 AM,73,11,2163,25,293,2,2266,424.7,78,2188
2026-01-25,5:34 PM,13,1,1197,3,187,4,1219,1144.2,14,1205
2026-01-25,11:22 PM,15,0,1121,45,172,3,1181,451.1,15,1166
2026-01-26,8:23 AM,47,8,2820,10,413,4,2883,479.4,54,2829
2026-01-26,10:12 AM,56,9,4139,10,593,11,4211,407.4,63,4148
2026-01-26,5:23 PM,6,2,298,26,38,1,333,490.0,8,325
2026-01-26,11:23 PM,16,6,1017,46,144,1,1082,502.7,19,1063
2026-01-27,8:21 AM,41,9,2130,13,258,9,2192,393.9,49,2143
2026-01-27,5:23 PM,12,3,932,5,140,19,951,509.6,14,937
2026-01-27,11:22 PM,23,2,39,43,4,1,106,435.2,24,82
2026-01-28,8:23 AM,55,12,2287,9,274,9,2357,495.8,60,2297
2026-01-28,5:23 PM,3,1,835,0,117,4,839,501.4,4,835
2026-01-28,11:25 PM,39,6,392,59,54,3,494,601.2,43,451
2026-01-29,8:21 AM,55,9,3534,97,328,12,3687,377.7,56,3631
2026-01-29,5:22 PM,7,3,1149,0,144,1,1158,455.8,9,1149
2026-01-29,11:22 PM,23,6,786,53,84,0,865,468.9,26,839
2026-01-30,8:21 AM,119,16,2694,8,192,7,2826,403.4,124,2702
2026-01-30,5:27 PM,12,5,1337,0,114,8,1353,715.3,16,1337
2026-01-30,11:22 PM,28,4,789,52,119,8,873,449.2,32,841
2026-01-31,8:21 AM,71,13,3522,22,374,18,3622,375.9,78,3544
2026-01-31,5:23 PM,14,2,1118,1,172,11,1134,470.5,16,1118
2026-01-31,11:21 PM,26,3,352,63,30,8,445,407.1,29,416
2026-02-01,8:21 AM,97,15,5199,2,528,31,5306,405.6,104,5202
2026-02-01,10:19 AM,99,11,2311,1,215,21,2414,474.7,104,2310
2026-02-01,2:32 PM,21,1,205,0,24,6,226,470.7,22,204
2026-02-01,5:24 PM,16,3,2594,1,81,44,2615,540.9,19,2596
2026-02-01,11:23 PM,70,6,4365,47,27,58,4488,526.9,75,4413
2026-02-02,8:23 AM,89,18,5952,13,20,77,6072,499.3,102,5970
2026-02-02,9:51 AM,88,15,6110,13,23,95,6228,524.1,100,6128
2026-02-02,5:23 PM,7,2,1358,1,8,6,1368,455.5,8,1360
2026-02-02,11:23 PM,37,6,479,30,2,3,550,483.6,40,510
2026-02-03,8:21 AM,163,15,3240,25,28,29,3434,368.8,169,3265
2026-02-03,10:05 AM,98,6,14,1,0,0,117,495.1,102,15
2026-02-03,5:20 PM,21,2,199,0,0,1,221,327.5,22,199
2026-02-03,11:24 PM,49,10,150,1,3,1,201,554.1,50,151
2026-02-04,8:22 AM,159,12,1892,13,10,26,2073,448.3,167,1906
2026-02-04,5:22 PM,24,14,644,1,18,5,669,425.1,24,645
